Epoch,Train_Loss_Total,Train_Loss_Data,Train_Loss_Phys,Val_Loss_Total,Val_Loss_Data,Val_Loss_Phys,Lambda_Data,Lambda_Phys,C0,C1,h0,h1,k01,k10,q0,q1
1,3586.4060346813894,0.004854588216226859,3586.9014381000693,968.7729285547733,0.001334826072540472,968.9049440013875,1.0001376300711695,0.9998623699288317,132.7321014404297,128.23411560058594,5.246136665344238,5.822402000427246,0.07544143497943878,0.02746581844985485,14.995100975036621,14.944246292114258
2,1398.6607755825758,0.001924657906223613,1398.845429524898,1637.1976421932666,0.002241113070358536,1637.2343039024283,1.0000237613366583,0.9999762386633413,129.8526153564453,126.65058135986328,5.324693202972412,5.897632598876953,0.07432568073272705,0.027036748826503754,14.993021011352539,14.936873435974121
3,1061.4152243097512,0.0014772730576004234,1061.4820158788696,1203.998406119941,0.00165793722595628,1203.9797908074652,0.9999859155454884,1.0000140844545131,129.16705322265625,126.32788848876953,5.346548080444336,5.916778564453125,0.0735357329249382,0.02676074393093586,14.996465682983398,14.93814754486084
4,885.0606361231512,0.0012513336900258508,885.0777818583443,501.36695882406923,0.0007202455845382443,501.4138236018045,1.0000949018344376,0.9999050981655627,128.98245239257812,126.25493621826172,5.353792190551758,5.922512054443359,0.07300928980112076,0.02657489664852619,14.998635292053223,14.930010795593262
5,783.3400467304547,0.0011198270153512304,783.3239587340548,1309.0647765196377,0.0018117168471389453,1309.3042324266266,1.0001842718840332,0.9998157281159646,128.92788696289062,126.23567962646484,5.356461048126221,5.92448616027832,0.07258079946041107,0.02642105333507061,14.995665550231934,14.921722412109375
6,695.155849000801,0.0010028115066471421,695.0800919213999,943.2611153150989,0.0013256677360464356,943.0988850446664,0.9998293871073075,1.0001706128926917,128.91062927246094,126.2301025390625,5.35751485824585,5.925214767456055,0.07223615795373917,0.02629394456744194,14.99325942993164,14.91589069366455
7,651.170491227292,0.0009456207711785221,651.3056385880783,896.8948297413453,0.0012536836306984806,897.1388626765649,1.0002734102509918,0.9997265897490063,128.904541015625,126.22801971435547,5.357964992523193,5.925510406494141,0.07193019241094589,0.026174111291766167,14.989792823791504,14.913487434387207
8,602.1124261043312,0.0008803377346953013,602.2568116155072,630.8899123950987,0.0009045117205409236,630.9892255487688,1.0001588264981325,0.9998411735018704,128.90199279785156,126.22705841064453,5.3581719398498535,5.925640106201172,0.07165659964084625,0.0260528102517128,14.991393089294434,14.911463737487793
9,576.0496507138915,0.0008465240633668055,576.1565634163825,348.1979163551531,0.0005340992459701354,348.38556254416284,1.000540150330501,0.9994598496695004,128.90074157714844,126.22653198242188,5.358272075653076,5.925702095031738,0.07142938673496246,0.025945967063307762,14.987919807434082,14.909451484680176
10,550.71746263447,0.0008147480647466946,550.7778271125358,431.0530639759443,0.000645523027488767,430.99782273533145,0.999873326971796,1.0001266730282043,128.90005493164062,126.22621154785156,5.3583245277404785,5.925734519958496,0.07123934477567673,0.025844749063253403,14.987383842468262,14.902892112731934
11,536.3852309990302,0.0007993467953753503,536.4529754820778,368.72966223414136,0.0005781794744998827,368.8001710381933,1.000192752337319,0.9998072476626798,128.89964294433594,126.22599792480469,5.358353614807129,5.925753593444824,0.07107561826705933,0.02576034516096115,14.990017890930176,14.904661178588867
12,507.2887695267283,0.000764722529583555,507.27889444301087,254.11258767278903,0.0004243705158382534,253.77414945400724,0.9986680502555825,1.0013319497444213,128.89938354492188,126.22586059570312,5.358371734619141,5.925765514373779,0.07094281911849976,0.02569478191435337,14.990479469299316,14.901779174804688
13,488.55339803341064,0.0007405504727259742,488.40143404770924,399.80410567817,0.0006212687424573039,399.8926241435576,1.0002229095192983,0.9997770904807053,128.89920043945312,126.22575378417969,5.3583831787109375,5.925773620605469,0.07083790749311447,0.02564527839422226,14.99229907989502,14.902654647827148
14,469.4597406890828,0.0007158808470111004,469.54279977368606,603.6342454774069,0.0008982921390391514,603.7304260704936,1.0001607986370729,0.9998392013629286,128.8990478515625,126.22566986083984,5.358391284942627,5.925779342651367,0.07075346261262894,0.025601502507925034,14.991750717163086,14.9037504196167
15,443.43788954543743,0.0006808230279901897,443.47714425209915,363.566108101693,0.0005731746915609936,363.6320164844853,1.000182826756894,0.9998171732431085,128.89894104003906,126.22560119628906,5.358397483825684,5.925783157348633,0.07067587226629257,0.02556655928492546,14.992667198181152,14.903905868530273
16,427.6754390991979,0.0006595542503765012,427.6809555431451,393.6549344634631,0.0006107860048644463,393.7537578992502,1.0002525293385476,0.999747470661453,128.8988494873047,126.22554779052734,5.358401775360107,5.92578649520874,0.0706133022904396,0.02553337998688221,14.989245414733887,14.898578643798828
17,415.83090215410715,0.0006438883603020486,415.8279073306846,516.0308198139179,0.00078686801439793,516.0759172685736,1.000088910160493,0.9999110898395085,128.89877319335938,126.22550201416016,5.358405113220215,5.925788879394531,0.07056065648794174,0.025507407262921333,14.990467071533203,14.899999618530273
18,370.0452106814685,0.0005840112761990419,370.1156362484224,488.4758739891157,0.0007483584703372947,488.8075499081989,1.0006800729378158,0.9993199270621865,128.89874267578125,126.2254867553711,5.358406066894531,5.925789833068848,0.07053940743207932,0.025496182963252068,14.990141868591309,14.901426315307617
19,339.07060989934456,0.0005425339184413726,339.1061326041138,486.3020852823109,0.0007487032252985886,486.15551197082175,0.9997000448842995,1.0002999551156981,128.8987274169922,126.22547149658203,5.358407020568848,5.925790786743164,0.07052178680896759,0.025486253201961517,14.990694999694824,14.901652336120605
20,325.2683163112327,0.0005238501024249439,325.2733256674694,472.4868743408547,0.0007277579881594434,472.5601263355951,1.0001565512249926,0.9998434487750074,128.89869689941406,126.22545623779297,5.358407974243164,5.9257917404174805,0.07050513476133347,0.02547757886350155,14.991199493408203,14.902260780334473
21,312.98426798404256,0.00050703750707658,312.9889235472676,479.40058341353955,0.0007365811963577498,479.46907923124314,1.0001443940980914,0.9998556059019097,128.898681640625,126.22544860839844,5.3584089279174805,5.925792217254639,0.07048964500427246,0.025469597429037094,14.99362850189209,14.90332317352295
22,296.3558737281311,0.00048481616377588625,296.3631642237628,639.5224126690028,0.0009550807283219798,639.6136901388558,1.0001442006162886,0.9998557993837119,128.89866638183594,126.22543334960938,5.358409881591797,5.925792694091797,0.07047424465417862,0.025462253019213676,14.992422103881836,14.903284072875977
23,285.71738041799233,0.00047091852745042233,285.7743114403942,858.4466418698604,0.001249339991220955,858.3705164220906,0.9999127693515479,1.000087230648452,128.89865112304688,126.22543334960938,5.358410358428955,5.925793170928955,0.07046843320131302,0.025458574295043945,14.992575645446777,14.902685165405273
