Epoch,Train_Loss_Total,Train_Loss_Data,Train_Loss_Phys,Val_Loss_Total,Val_Loss_Data,Val_Loss_Phys,C0,C1,h0,h1,k01,k10,q0,q1
1,0.009729933964847453,0.004868703141848234,3584.987478645503,0.01811654244826812,0.009045489833878307,6689.583742230881,135.99789428710938,133.17860412597656,5.043841361999512,5.606405735015869,0.07692461460828781,0.027758466079831123,14.940082550048828,14.912318229675293
2,0.0013351183720442664,0.0006812412577998149,482.2114793852242,0.0015577836288950633,0.0007987843515982419,559.7353938457762,132.6748046875,129.5321044921875,5.157957077026367,5.726758003234863,0.07610204070806503,0.02756887674331665,14.869671821594238,14.824413299560547
3,0.0007458445891257862,0.0003912873476945726,261.47355238223173,0.0044176063596074,0.002236538727986336,1608.4610148312054,131.07284545898438,128.1212158203125,5.224261283874512,5.791987895965576,0.07544523477554321,0.02736986242234707,14.801143646240234,14.746814727783203
4,0.0005635775013561339,0.00030339257331587165,191.8772753311805,0.002354667169226418,0.0012004895678074234,851.1655741693181,130.34449768066406,127.43900299072266,5.264953136444092,5.832610130310059,0.07485511898994446,0.02718261070549488,14.729215621948242,14.67129135131836
5,0.0004321450823828642,0.0002401829469260912,141.56535434318548,0.0017028576712892118,0.0008790305296080292,607.5436750039433,130.0011444091797,127.05261993408203,5.291059494018555,5.85840368270874,0.07435932755470276,0.02703317254781723,14.651520729064941,14.597139358520508
6,0.0003839147284227957,0.0002177277424888852,122.55708355407407,0.0019229931613715687,0.0009952468856671034,684.180394123313,129.79989624023438,126.81726837158203,5.30935001373291,5.876646995544434,0.07393200695514679,0.026903243735432625,14.57503890991211,14.526883125305176
7,0.0003339437788121139,0.00019384308473369255,103.31935693826618,0.0009791503068720374,0.0005216862652297264,337.36371457636454,129.66665649414062,126.69490051269531,5.32171630859375,5.888726234436035,0.07353594899177551,0.02677254192531109,14.497369766235352,14.453360557556152
8,0.0003170878385862891,0.00018546028998415627,97.07070865572226,0.0031424510566838777,0.0016002347001752746,1137.3305685715206,129.57188415527344,126.61178588867188,5.330993175506592,5.8977813720703125,0.07316998392343521,0.026654591783881187,14.42057991027832,14.383418083190918
9,0.0003074471344698979,0.0001809325090307142,93.30010699395363,0.001038168931159522,0.0005555343582887987,355.9261013136085,129.51425170898438,126.54867553710938,5.337571144104004,5.90437126159668,0.07286272943019867,0.026554470881819725,14.344531059265137,14.31790828704834
10,0.0002708284441960934,0.00016326438320370042,79.32472923857352,0.0012731895065398976,0.000668962208154135,445.5964782588271,129.46395874023438,126.5091552734375,5.34219217300415,5.909012794494629,0.07260025292634964,0.026460088789463043,14.275703430175781,14.252805709838867
11,0.00026513129621238073,0.00016056121272524544,77.1167755476723,0.0011496550574028423,0.0006112044245002321,397.08849007378836,129.41702270507812,126.48196411132812,5.345519065856934,5.912441253662109,0.0723576471209526,0.026368407532572746,14.21169662475586,14.189115524291992
12,0.0002470500398318018,0.0001517984198590982,70.2447351199687,0.002545657081059221,0.001304152537643453,915.5661349607032,129.3893280029297,126.45903778076172,5.34807014465332,5.914999961853027,0.07214774191379547,0.026296818628907204,14.148019790649414,14.132169723510742
13,0.00015257803591342295,0.00010546319934642908,34.745542429590174,0.002900443118278797,0.001476479729503451,1050.1231460443921,129.3974609375,126.45924377441406,5.348935604095459,5.915839672088623,0.07207294553518295,0.026268310844898224,14.109245300292969,14.097136497497559
14,0.00014179226595193592,0.00010017460617465579,30.691566973996228,0.002069378572193572,0.001061452451611449,743.3102277316315,129.410400390625,126.46171569824219,5.349668502807617,5.916562080383301,0.07199648767709732,0.026238825172185898,14.070310592651367,14.060371398925781
15,0.00013762592577415465,9.814275600477392e-05,29.117455397637787,0.001983504110344355,0.001019278860872685,711.0823648863524,129.4256134033203,126.46580505371094,5.350301742553711,5.917194366455078,0.07192298024892807,0.026207562536001205,14.034375190734863,14.024497985839844
16,0.00013637022318367564,9.741832598580632e-05,28.725660532873302,0.0020799443453215767,0.0010665412551794553,747.3493020594219,129.44334411621094,126.4697265625,5.35087776184082,5.917747974395752,0.07185358554124832,0.02618001028895378,13.998373031616211,13.991629600524902
17,0.00013448547435974804,9.64570380137027e-05,28.044640461725507,0.0019588843425239755,0.0010083098765937336,701.0153871163701,129.46005249023438,126.474365234375,5.351375102996826,5.918246269226074,0.07178902626037598,0.02615187130868435,13.965713500976562,13.95984935760498
18,0.00010345838722663473,8.120150668490887e-05,16.41367017421551,0.0016291318392608557,0.0008439872849180005,579.016618762072,129.4757080078125,126.47911834716797,5.351594924926758,5.918457984924316,0.07175903022289276,0.02613876201212406,13.94654369354248,13.941452980041504
19,0.0001013707758773022,8.013133776327534e-05,15.663341993077454,0.0016234894573182422,0.0008407974265554335,577.2079700683314,129.49497985839844,126.48455047607422,5.351802825927734,5.918654441833496,0.07172906398773193,0.026125872507691383,13.9274320602417,13.923157691955566
20,0.00010109869275510948,7.998598605429067e-05,15.5698820334957,0.0018146155254030775,0.0009356695637341572,648.1918759258442,129.5171356201172,126.49028778076172,5.352002143859863,5.918842792510986,0.07169989496469498,0.026113959029316902,13.908807754516602,13.90564250946045
21,9.918097782777183e-05,7.89811390126557e-05,14.89667389764444,0.0016999247745145161,0.0008785807791607229,605.7124400051289,129.53878784179688,126.49651336669922,5.352180004119873,5.919018745422363,0.07167167216539383,0.02610158920288086,13.891569137573242,13.888550758361816
22,9.807496753042098e-05,7.836624731634468e-05,14.534491156969311,0.0019408748470966517,0.0009985089589991702,694.961848760487,129.56292724609375,126.50302124023438,5.352351665496826,5.919185638427734,0.071644127368927,0.026089735329151154,13.874977111816406,13.8722562789917
23,9.034941060817847e-05,7.462267711540963e-05,11.59791535447359,0.0019523489020856367,0.0010047524605084704,698.8191977805009,129.57818603515625,126.507080078125,5.352436065673828,5.919266223907471,0.0716298520565033,0.02608357183635235,13.86601734161377,13.863587379455566
24,8.944813376066096e-05,7.412740599680053e-05,11.298500384277382,0.0020200156446565556,0.0010383232391857667,723.963778933619,129.59432983398438,126.51128387451172,5.352518558502197,5.919343948364258,0.07161612063646317,0.02607760950922966,13.857125282287598,13.855047225952148
25,8.877894642449152e-05,7.374753949431753e-05,11.08513636476565,0.002228902270033781,0.0011422147909495633,801.3939732343008,129.61122131347656,126.51567077636719,5.352598667144775,5.9194183349609375,0.07160265743732452,0.02607174590229988,13.848467826843262,13.846686363220215
26,8.811580044004409e-05,7.337303167201151e-05,10.872275856268146,0.0023062633979570334,0.0011804738165476908,830.2304004229767,129.62904357910156,126.52022552490234,5.3526763916015625,5.919490814208984,0.07158952206373215,0.026065975427627563,13.840002059936523,13.838560104370117
27,8.75812149858189e-05,7.306366895762824e-05,10.706181975433974,0.002384617006729197,0.001219425705886702,859.2877919399281,129.64781188964844,126.5250244140625,5.352752208709717,5.919561862945557,0.07157652080059052,0.02606026828289032,13.831787109375,13.830609321594238
28,8.549530402584068e-05,7.208881889145079e-05,9.886813453342715,0.0025126317566184315,0.0012829455712371463,906.8505147637827,129.65843200683594,126.52766418457031,5.352789878845215,5.9195966720581055,0.0715697705745697,0.02605736441910267,13.827590942382812,13.826566696166992
29,8.503248892465214e-05,7.183779077542548e-05,9.730627961577767,0.002584647876401216,0.0013186081677955548,933.6599635027088,129.6690673828125,126.53033447265625,5.3528265953063965,5.919631004333496,0.07156321406364441,0.0260545015335083,13.823433876037598,13.822552680969238
30,8.464291791630321e-05,7.160864289674755e-05,9.61232150391788,0.002652897801532901,0.0013527210497695083,958.834833871144,129.6801300048828,126.53308868408203,5.35286283493042,5.9196648597717285,0.0715566948056221,0.026051640510559082,13.819319725036621,13.818567276000977
31,8.433361608186061e-05,7.142758751715311e-05,9.517744245447387,0.0026906385632331532,0.0013713575684966305,972.9235439873697,129.6915283203125,126.53587341308594,5.352898597717285,5.9196977615356445,0.07155022770166397,0.026048826053738594,13.815258979797363,13.814663887023926
32,8.408075524625813e-05,7.126856141845956e-05,9.448544417514837,0.0027821049863362385,0.0014168271753166508,1006.8445821278083,129.7031707763672,126.53873443603516,5.352933883666992,5.919731140136719,0.07154380530118942,0.026046011596918106,13.811267852783203,13.810799598693848
33,8.343009211697885e-05,7.098255001601478e-05,9.179626488159837,0.0028464177010753093,0.0014492155783463294,1030.3876506251365,129.70948791503906,126.54025268554688,5.352951526641846,5.919747352600098,0.07154043763875961,0.02604459971189499,13.809259414672852,13.808868408203125
